Event Name,Event Type,Duration (hours),Participants,Venue Type,Location,Number of Devices,Avg Power per Device (kW),Energy Usage Hours,Transport Mode,Transport Distance (km),Attendees Using Transport,Meal Type,Number of Meals,Printed Material (kg),Decoration Material (kg),Total Emissions (kg CO2)
Événement de Bienfaisance,Trade Show,11,172,Coworking Space,Sydney,9,1.09,11,Bicycle,216.45,242,Vegetarian,172,2.18,19.64,355.59
Conférence,Networking Event,13,248,Coworking Space,Dubai,15,1.01,13,Bus,330.26,368,Mixed,248,6.1,27.89,8078.6
Trade Show,Seminar,1,745,Coworking Space,London,43,0.34,1,Bus,217.91,12,Vegan,745,9.41,22.64,973.31
Networking Event,Networking Event,47,205,Outdoor,London,6,1.69,47,Car,76.86,72,Vegetarian,205,9.52,2.64,1732.23
Conference,Product Launch,3,1942,Coworking Space,Paris,11,1.4,3,Car,403.22,471,Vegetarian,1942,2.79,28.51,42881.19
Fundraiser,Product Launch,41,1940,Office,Tokyo,24,1.88,41,Walking,272.25,363,Non-Vegetarian,1940,5.26,21.28,7768.04
Product Launch,Corporate Training,42,1144,Outdoor,London,23,0.35,42,Car,68.01,40,Vegan,1144,13.33,27.49,1965.97
Seminar,Seminar,9,1496,Hotel,London,28,0.56,9,Bicycle,416.8,79,Non-Vegetarian,1496,5.75,34.29,5386.64
Networking,Team Building,6,192,Hotel,New York,8,0.67,6,Car,73.26,216,Non-Vegetarian,192,13.58,27.25,4092.81
Product Launch,Trade Show,15,635,Outdoor,Sydney,37,0.64,15,Bus,36.99,88,Mixed,635,15.79,32.79,2057.57
Conférence,Team Building,10,1600,Coworking Space,Paris,7,1.04,10,Train,3.73,272,Vegetarian,1600,7.95,36.03,2564.94
Product Launch,Seminar,13,648,Outdoor,Berlin,42,1.16,13,Walking,397.86,424,Vegan,648,1.31,29.45,1026.2
Conférence,Corporate Training,11,1287,Hotel,Berlin,13,1.48,11,Car,253.98,103,Mixed,1287,2.42,41.08,8903.91
Board Meeting,Networking Event,5,143,Coworking Space,Paris,27,1.22,5,Walking,158.07,125,Vegetarian,143,17.47,22.39,376.57
Corporate Training,Board Meeting,4,1110,Outdoor,Paris,10,1.29,4,Bicycle,433.3,120,Vegan,1110,10.21,14.25,1184.72
Fundraiser,Corporate Training,29,1561,Office,London,13,1.09,29,Plane,427.11,202,Mixed,1561,19.76,35.29,25787.12
Product Launch,Networking Event,3,1363,Coworking Space,Berlin,24,0.74,3,Bicycle,302.78,73,Mixed,1363,2.59,20.75,3480.82
Trade Show,Board Meeting,36,677,Convention Center,New York,37,1.15,36,Car,116.51,201,Non-Vegetarian,677,17.43,15.57,8119.29
Networking,Product Launch,42,76,Outdoor,London,8,1.76,42,Plane,377.41,301,Vegetarian,76,2.18,13.78,28841.7
Corporate Training,Trade Show,21,1561,Office,Tokyo,43,1.57,21,Bicycle,148.98,406,Mixed,1561,18.56,31.85,4712.17
Fundraiser,Seminar,21,243,Outdoor,Sydney,21,0.11,21,Walking,340.99,246,Mixed,243,15.75,36.01,735.27
Corporate Training,Corporate Training,40,891,Outdoor,Berlin,13,1.6,40,Car,164.36,67,Vegetarian,891,12.84,43.04,4176.81
Conference,Seminar,37,215,Hotel,Paris,22,1.89,37,Car,90.8,399,Vegan,215,11.62,48.33,8712.26
Séminaire,Conference,15,60,Outdoor,New York,29,0.19,15,Car,123.84,457,Mixed,60,1.01,4.74,12087.75
Lancement de Produit,Board Meeting,47,1722,Coworking Space,London,21,1.87,47,Walking,146.89,286,Vegan,1722,15.13,39.83,2754.77
Fundraiser,Fundraiser,35,1621,Office,Tokyo,11,1.9,35,Walking,409.14,372,Vegetarian,1621,15.32,34.13,2896.15
Networking Event,Board Meeting,20,1298,Coworking Space,Sydney,22,0.38,20,Car,491.25,159,Mixed,1298,12.09,37.85,19831.32
Réunion du Conseil,Fundraiser,35,145,Outdoor,Berlin,23,1.08,35,Bus,261.0,214,Non-Vegetarian,145,9.94,19.45,4352.22
Board Meeting,Seminar,23,1102,Coworking Space,Dubai,17,0.71,23,Bus,90.78,305,Non-Vegetarian,1102,7.88,10.11,5693.06
Workshop,Corporate Training,7,975,Coworking Space,Paris,40,0.83,7,Bus,330.79,26,Vegan,975,5.88,34.88,1688.75
Événement de Bienfaisance,Conference,32,988,Office,Sydney,48,0.97,32,Car,276.72,20,Vegan,988,7.05,35.38,2980.04
Conférence,Networking Event,18,1895,Hotel,Berlin,33,1.68,18,Walking,202.07,355,Vegetarian,1895,11.45,44.28,3452.92
Atelier,Product Launch,36,1474,Convention Center,Paris,37,0.93,36,Bus,138.71,368,Vegan,1474,2.2,30.85,5222.2
Conférence,Workshop,18,1658,Convention Center,Paris,36,1.48,18,Bus,418.22,463,Vegan,1658,4.91,47.54,13860.57
Trade Show,Workshop,30,659,Office,Tokyo,32,1.77,30,Car,361.78,54,Vegan,659,18.4,16.16,5680.31
Networking Event,Team Building,12,63,Coworking Space,London,23,0.93,12,Bus,124.42,481,Non-Vegetarian,63,0.63,14.43,3969.72
Séminaire,Trade Show,12,424,Office,Berlin,43,0.16,12,Bicycle,76.0,330,Vegetarian,424,18.85,22.38,759.74
Atelier,Product Launch,46,1188,Outdoor,Tokyo,19,1.41,46,Plane,174.42,138,Non-Vegetarian,1188,14.94,16.01,10853.56
Conférence,Board Meeting,26,1343,Convention Center,Dubai,10,1.17,26,Plane,95.51,363,Vegetarian,1343,11.02,12.65,10881.47
Séminaire,Seminar,38,858,Hotel,Tokyo,50,0.71,38,Car,133.53,274,Vegetarian,858,3.54,41.79,9735.48
Seminar,Team Building,18,1610,Office,Dubai,31,1.65,18,Bicycle,155.47,195,Non-Vegetarian,1610,5.2,34.46,6174.67
Événement de Bienfaisance,Team Building,25,358,Hotel,London,41,0.76,25,Plane,262.64,295,Vegetarian,358,13.78,31.77,20387.3
Événement de Bienfaisance,Seminar,40,1422,Outdoor,Dubai,36,0.2,40,Bus,251.44,428,Vegan,1422,7.44,13.86,8065.58
Corporate Training,Networking Event,15,1068,Outdoor,Sydney,14,1.09,15,Plane,5.99,112,Vegetarian,1068,13.81,11.82,1935.43
Séminaire,Seminar,7,506,Coworking Space,New York,35,1.11,7,Train,423.35,473,Non-Vegetarian,506,4.87,40.07,10006.64
Networking Event,Networking Event,47,177,Coworking Space,Berlin,50,0.3,47,Bus,137.03,35,Vegetarian,177,10.01,38.38,1002.54
Team Building,Product Launch,27,236,Outdoor,New York,43,1.17,27,Train,266.1,419,Non-Vegetarian,236,2.66,5.59,5981.52
Networking,Fundraiser,7,1462,Convention Center,Paris,45,1.83,7,Walking,217.24,13,Vegan,1462,11.61,36.42,1846.28
Board Meeting,Product Launch,11,85,Convention Center,New York,8,1.5,11,Walking,354.17,218,Non-Vegetarian,85,8.21,22.49,424.9
Lancement de Produit,Board Meeting,19,1633,Coworking Space,Paris,26,0.69,19,Car,126.6,466,Non-Vegetarian,1633,11.97,13.15,18325.25
Product Launch,Fundraiser,40,886,Coworking Space,Tokyo,35,1.17,40,Bus,60.21,258,Vegetarian,886,16.87,49.8,3213.39
Networking,Seminar,4,502,Convention Center,Dubai,49,0.63,4,Train,430.4,285,Mixed,502,19.19,38.65,6338.98
Trade Show,Trade Show,37,796,Office,Berlin,9,1.19,37,Walking,225.45,304,Vegan,796,2.35,23.18,1045.19
Réunion du Conseil,Conference,27,1596,Coworking Space,Dubai,39,0.25,27,Walking,344.49,299,Vegetarian,1596,6.19,32.18,2602.36
Trade Show,Board Meeting,24,1404,Convention Center,New York,14,1.37,24,Walking,352.64,89,Mixed,1404,1.71,37.31,3818.2
Atelier,Product Launch,35,1818,Hotel,New York,46,1.7,35,Bus,185.9,233,Non-Vegetarian,1818,19.7,19.36,10408.5
Séminaire,Trade Show,9,1752,Hotel,Dubai,15,1.93,9,Bicycle,365.83,44,Non-Vegetarian,1752,3.98,31.73,6333.69
Formation,Corporate Training,28,1351,Convention Center,Paris,29,1.52,28,Bicycle,396.91,363,Mixed,1351,15.83,24.03,4074.34
Fundraiser,Workshop,9,1576,Office,London,25,0.14,9,Bicycle,189.44,81,Non-Vegetarian,1576,18.21,14.1,5596.37
Team Building,Networking Event,13,120,Office,Tokyo,38,1.39,13,Walking,175.58,310,Mixed,120,1.0,5.34,656.01
Seminar,Workshop,43,547,Outdoor,Paris,10,0.56,43,Bus,152.16,440,Vegan,547,3.67,14.98,4721.72
Networking Event,Trade Show,47,1815,Hotel,Tokyo,11,0.48,47,Bus,334.09,293,Mixed,1815,16.91,41.56,10651.82
Réunion du Conseil,Fundraiser,43,536,Office,Berlin,38,0.69,43,Bus,473.65,390,Vegetarian,536,7.29,12.45,12490.62
Workshop,Corporate Training,35,391,Convention Center,Dubai,35,1.97,35,Plane,296.08,464,Non-Vegetarian,391,9.82,24.64,36989.32
Board Meeting,Team Building,48,1847,Convention Center,London,45,0.64,48,Bicycle,67.64,498,Non-Vegetarian,1847,6.03,15.05,7197.86
Fundraiser,Board Meeting,32,610,Office,Sydney,21,0.72,32,Plane,398.49,312,Mixed,610,3.85,4.59,32866.02
Séminaire,Trade Show,1,901,Convention Center,London,40,1.75,1,Walking,314.93,314,Vegetarian,901,4.45,35.29,1465.98
Seminar,Networking Event,31,714,Office,New York,33,1.62,31,Plane,371.1,99,Mixed,714,0.76,47.72,11895.31
Formation,Team Building,26,451,Coworking Space,Tokyo,29,0.62,26,Bicycle,104.41,448,Mixed,451,17.74,45.84,1488.4
Product Launch,Networking Event,39,1392,Coworking Space,Dubai,46,0.82,39,Plane,75.47,239,Non-Vegetarian,1392,6.95,16.78,10164.33
Conférence,Board Meeting,36,1328,Outdoor,London,16,0.63,36,Car,390.51,410,Vegetarian,1328,7.0,49.56,35909.47
Atelier,Team Building,39,746,Coworking Space,Dubai,32,1.07,39,Bus,304.8,385,Vegan,746,11.72,31.49,8540.98
Fundraiser,Seminar,38,469,Convention Center,Paris,36,1.32,38,Bus,253.89,241,Vegetarian,469,11.51,48.24,5397.13
Team Building,Corporate Training,2,1626,Convention Center,Paris,28,0.68,2,Bicycle,234.59,305,Non-Vegetarian,1626,3.25,37.21,5790.96
Réunion du Conseil,Networking Event,2,447,Outdoor,London,29,1.49,2,Train,279.58,64,Vegetarian,447,7.02,21.37,1486.21
Réunion du Conseil,Trade Show,15,158,Convention Center,Sydney,49,1.41,15,Car,364.11,266,Mixed,158,19.59,24.18,21339.9
Trade Show,Workshop,8,1630,Office,Berlin,40,0.53,8,Plane,141.24,191,Vegetarian,1630,13.06,41.38,9382.89
Séminaire,Trade Show,10,949,Outdoor,Sydney,11,1.22,10,Walking,243.24,437,Non-Vegetarian,949,8.77,10.38,3426.9
Seminar,Trade Show,40,958,Hotel,New York,38,0.39,40,Bus,240.62,51,Vegetarian,958,18.86,11.78,2530.98
Board Meeting,Workshop,30,1070,Office,Sydney,41,1.13,30,Train,437.11,159,Vegan,1070,19.29,19.22,4621.99
Team Building,Seminar,8,1516,Hotel,Dubai,40,0.38,8,Train,397.97,384,Vegetarian,1516,1.51,33.24,8517.12
Lancement de Produit,Corporate Training,37,1452,Office,London,35,1.82,37,Bicycle,252.07,22,Vegetarian,1452,14.64,37.62,3460.97
Networking Event,Fundraiser,47,414,Office,Tokyo,50,0.59,47,Bus,99.0,105,Mixed,414,4.5,25.05,2411.05
Corporate Training,Board Meeting,27,223,Convention Center,Berlin,17,1.08,27,Walking,63.09,229,Non-Vegetarian,223,14.8,34.19,1126.34
Réunion du Conseil,Fundraiser,11,278,Office,Dubai,18,1.86,11,Walking,66.82,124,Vegetarian,278,13.04,18.95,665.12
Conference,Fundraiser,24,1903,Outdoor,Sydney,37,1.66,24,Bicycle,77.81,28,Vegan,1903,16.69,3.09,2679.6
Atelier,Fundraiser,6,1891,Hotel,New York,23,0.85,6,Plane,390.95,423,Vegetarian,1891,15.84,41.17,44352.13
Product Launch,Fundraiser,36,1853,Hotel,New York,44,0.96,36,Bus,79.99,258,Vegan,1853,15.71,7.71,3898.41
Atelier,Team Building,45,1183,Outdoor,Paris,14,0.87,45,Plane,389.37,487,Vegetarian,1183,2.39,11.73,49482.59
Corporate Training,Seminar,20,1981,Convention Center,Paris,18,1.59,20,Bicycle,228.09,407,Vegan,1981,6.48,18.5,2317.16
Séminaire,Workshop,12,1956,Coworking Space,London,11,1.06,12,Train,464.15,65,Vegetarian,1956,3.11,37.98,4292.93
Lancement de Produit,Corporate Training,10,433,Hotel,New York,48,0.58,10,Plane,197.1,289,Vegetarian,433,17.52,26.47,15117.16
Trade Show,Board Meeting,48,386,Outdoor,Tokyo,41,0.62,48,Car,54.44,150,Vegan,386,10.86,36.38,2805.42
Atelier,Conference,31,1966,Hotel,Tokyo,44,0.58,31,Bus,266.85,190,Vegan,1966,3.66,12.52,5436.01
Événement de Bienfaisance,Networking Event,32,405,Office,Sydney,12,1.35,32,Plane,58.01,435,Vegan,405,1.89,37.41,7051.39
Corporate Training,Team Building,40,1823,Hotel,Dubai,36,0.73,40,Plane,171.72,271,Mixed,1823,5.25,46.49,16820.61
Trade Show,Trade Show,24,881,Office,Paris,39,0.5,24,Train,315.85,221,Vegetarian,881,17.06,16.34,4414.41
Board Meeting,Trade Show,2,935,Convention Center,Paris,20,1.93,2,Train,111.64,226,Vegetarian,935,15.81,48.23,2578.41
Board Meeting,Product Launch,47,1572,Outdoor,Sydney,42,0.2,47,Bus,197.02,218,Mixed,1572,13.11,2.57,6735.78
Séminaire,Fundraiser,39,1122,Convention Center,Tokyo,24,0.83,39,Plane,179.77,271,Vegan,1122,1.26,49.45,13791.28
Séminaire,Fundraiser,29,1149,Office,New York,18,1.35,29,Plane,464.62,214,Vegetarian,1149,17.15,25.84,27019.0
Workshop,Team Building,12,1324,Office,London,13,0.23,12,Car,427.17,30,Mixed,1324,19.23,17.88,6093.33
Networking Event,Seminar,38,728,Office,Sydney,22,1.41,38,Bicycle,480.01,434,Non-Vegetarian,728,18.19,13.78,3201.32
Atelier,Corporate Training,1,1399,Outdoor,London,7,0.45,1,Plane,95.89,338,Vegetarian,1399,11.3,28.92,10283.22
Atelier,Workshop,44,874,Office,Paris,17,0.72,44,Bicycle,284.78,374,Vegetarian,874,14.61,47.81,1705.12
Lancement de Produit,Product Launch,18,1039,Hotel,Sydney,23,1.51,18,Bus,322.65,41,Non-Vegetarian,1039,14.89,4.36,4781.29
Networking Event,Conference,26,646,Coworking Space,Tokyo,8,1.42,26,Walking,499.28,129,Vegan,646,19.96,2.82,839.24
Board Meeting,Conference,40,18,Outdoor,London,29,0.79,40,Car,231.04,237,Non-Vegetarian,18,19.27,43.29,12145.18
Product Launch,Trade Show,44,1210,Outdoor,London,21,1.53,44,Bicycle,301.39,88,Non-Vegetarian,1210,14.41,32.71,5036.1
Lancement de Produit,Team Building,20,1736,Convention Center,London,47,1.48,20,Bicycle,58.45,281,Mixed,1736,19.96,22.54,5120.6
Networking,Workshop,48,1901,Hotel,London,10,1.46,48,Train,361.63,106,Vegan,1901,13.74,49.7,3911.59
Lancement de Produit,Workshop,25,1856,Outdoor,Sydney,20,0.87,25,Bus,220.47,150,Vegan,1856,8.52,37.54,4149.85
Workshop,Workshop,41,799,Hotel,Berlin,32,1.82,41,Walking,427.91,21,Vegetarian,799,11.67,11.32,2438.4
Événement de Bienfaisance,Team Building,23,1716,Outdoor,Tokyo,37,0.48,23,Plane,463.03,44,Non-Vegetarian,1716,5.51,42.75,11400.09
Lancement de Produit,Trade Show,48,1100,Coworking Space,Sydney,31,1.85,48,Plane,374.06,143,Vegan,1100,8.91,33.54,15933.94
Board Meeting,Seminar,36,1171,Outdoor,Dubai,14,0.19,36,Walking,140.78,19,Non-Vegetarian,1171,19.35,45.15,4275.38
Networking,Workshop,45,402,Hotel,London,40,0.15,45,Bicycle,280.86,51,Non-Vegetarian,402,10.29,39.53,1641.64
Team Building,Networking Event,29,1805,Hotel,Tokyo,41,1.57,29,Car,73.13,425,Mixed,1805,15.29,1.09,12005.48
Networking Event,Seminar,5,1534,Convention Center,London,12,1.88,5,Bicycle,478.52,351,Vegetarian,1534,14.53,6.58,2399.62
Board Meeting,Conference,45,1328,Office,Berlin,25,0.21,45,Bicycle,285.47,292,Vegan,1328,7.63,1.8,1464.98
Fundraiser,Networking Event,42,1486,Hotel,Sydney,6,1.81,42,Bicycle,98.26,45,Mixed,1486,7.28,40.38,4038.38
Conference,Board Meeting,44,1320,Coworking Space,Dubai,34,0.83,44,Walking,40.38,26,Mixed,1320,2.93,12.34,3951.38
Fundraiser,Product Launch,41,791,Convention Center,New York,10,1.3,41,Car,374.92,74,Non-Vegetarian,791,14.02,26.49,8942.28
Conférence,Networking Event,32,1068,Hotel,Berlin,32,0.73,32,Bicycle,142.59,149,Vegan,1068,7.26,32.3,1520.88
Atelier,Workshop,35,862,Office,London,15,1.26,35,Train,346.75,74,Mixed,862,6.78,11.35,3548.39
Product Launch,Product Launch,45,1808,Convention Center,Berlin,11,0.94,45,Car,4.92,351,Mixed,1808,2.79,16.04,5152.96
Seminar,Corporate Training,28,645,Coworking Space,London,21,0.83,28,Plane,347.09,438,Vegan,645,14.24,37.95,38999.75
Atelier,Team Building,4,893,Office,Dubai,5,1.14,4,Plane,274.97,291,Non-Vegetarian,893,15.16,33.42,23238.13
Team Building,Workshop,38,932,Convention Center,Paris,8,1.2,38,Train,170.45,70,Vegan,932,10.86,45.65,1704.68
Atelier,Conference,11,492,Office,Sydney,48,0.38,11,Plane,51.27,25,Mixed,492,1.19,24.45,1702.04
Événement de Bienfaisance,Team Building,42,1071,Hotel,Sydney,23,1.48,42,Plane,173.91,40,Vegetarian,1071,5.6,30.94,4133.52
Trade Show,Networking Event,41,1873,Outdoor,Paris,33,1.27,41,Bus,427.4,437,Vegan,1873,19.69,45.97,14069.9
Événement de Bienfaisance,Networking Event,1,391,Coworking Space,Berlin,38,1.4,1,Bus,441.78,366,Vegan,391,5.99,8.64,10148.35
Product Launch,Conference,32,1572,Outdoor,Dubai,48,1.71,32,Bicycle,353.05,129,Vegan,1572,3.4,42.41,2976.9
Lancement de Produit,Board Meeting,3,198,Office,Tokyo,31,0.16,3,Train,114.55,288,Vegetarian,198,7.21,12.59,1663.66
Networking,Conference,20,550,Office,Dubai,50,1.62,20,Plane,428.91,236,Vegetarian,550,1.72,31.68,27007.49
Réunion du Conseil,Product Launch,23,764,Hotel,London,48,0.41,23,Car,269.32,324,Vegan,764,13.92,10.04,19362.77
Workshop,Corporate Training,16,537,Hotel,London,29,0.22,16,Train,337.12,101,Non-Vegetarian,537,6.32,45.54,3396.22
Trade Show,Team Building,32,1075,Coworking Space,Sydney,5,1.91,32,Car,270.97,336,Vegetarian,1075,14.26,33.94,20981.34
Lancement de Produit,Corporate Training,1,1194,Office,London,41,0.27,1,Bus,183.38,51,Vegan,1194,5.4,21.11,1813.7
Board Meeting,Product Launch,24,1548,Coworking Space,Paris,24,0.17,24,Train,335.01,384,Non-Vegetarian,1548,4.94,28.86,10680.31
Formation,Networking Event,34,1623,Outdoor,Paris,10,0.69,34,Bicycle,55.89,124,Vegetarian,1623,8.18,29.74,2627.64
Trade Show,Product Launch,5,721,Coworking Space,London,45,1.67,5,Bus,66.67,413,Vegetarian,721,7.66,29.55,2995.88
Événement de Bienfaisance,Board Meeting,7,635,Outdoor,Dubai,44,1.41,7,Walking,482.84,29,Vegetarian,635,18.31,44.5,1295.26
Fundraiser,Board Meeting,12,437,Hotel,Paris,41,1.28,12,Walking,89.56,206,Mixed,437,9.31,21.1,1468.2
Workshop,Fundraiser,22,882,Office,London,30,0.78,22,Car,49.01,266,Vegetarian,882,2.96,27.03,4378.08
Atelier,Board Meeting,39,656,Office,Tokyo,11,1.51,39,Walking,332.69,220,Vegetarian,656,2.08,44.42,1400.89
Conference,Corporate Training,29,1107,Coworking Space,London,32,1.96,29,Plane,483.92,413,Vegan,1107,3.83,19.95,52028.74
Atelier,Trade Show,16,402,Office,Berlin,12,1.64,16,Bicycle,27.3,48,Vegan,402,4.35,15.18,598.5
Atelier,Team Building,20,1301,Outdoor,Paris,21,0.54,20,Plane,16.01,95,Vegan,1301,19.28,49.45,1932.1
Product Launch,Conference,4,880,Outdoor,Sydney,37,0.36,4,Bicycle,107.23,310,Non-Vegetarian,880,9.34,24.87,3175.06
Networking,Trade Show,27,742,Convention Center,Tokyo,30,0.17,27,Bus,393.63,187,Mixed,742,5.49,40.28,6431.92
Corporate Training,Fundraiser,35,274,Coworking Space,Berlin,35,1.74,35,Train,27.71,152,Vegetarian,274,16.58,37.11,1752.61
Trade Show,Trade Show,28,655,Hotel,London,20,0.27,28,Bus,31.38,272,Vegetarian,655,16.89,43.07,1690.14
Seminar,Board Meeting,38,1100,Coworking Space,Sydney,38,1.78,38,Bicycle,83.14,488,Vegetarian,1100,4.02,46.91,3037.02
Workshop,Seminar,25,1999,Office,New York,14,1.12,25,Bicycle,124.01,75,Mixed,1999,12.74,25.58,5270.14
Conférence,Seminar,3,1749,Coworking Space,Dubai,38,1.06,3,Walking,280.16,124,Mixed,1749,9.12,35.19,4521.54
Événement de Bienfaisance,Corporate Training,10,856,Hotel,Paris,45,1.72,10,Bus,353.97,191,Non-Vegetarian,856,9.55,14.29,7487.18
Board Meeting,Corporate Training,42,202,Convention Center,Berlin,14,1.42,42,Walking,27.24,90,Mixed,202,19.25,9.38,979.74
Seminar,Fundraiser,32,1634,Convention Center,New York,16,0.72,32,Bicycle,368.36,317,Vegetarian,1634,12.53,13.83,2688.04
Board Meeting,Seminar,13,1377,Outdoor,Tokyo,25,0.26,13,Bus,291.54,283,Non-Vegetarian,1377,12.57,25.44,9888.12
Product Launch,Corporate Training,12,1481,Coworking Space,Paris,44,0.75,12,Bicycle,151.0,344,Vegan,1481,7.38,38.94,1771.64
Conference,Networking Event,37,634,Hotel,London,29,0.25,37,Car,134.86,292,Vegetarian,634,5.38,33.02,9431.54
Board Meeting,Fundraiser,48,968,Office,Paris,50,1.73,48,Bus,234.54,83,Mixed,968,1.97,7.27,5682.49
Réunion du Conseil,Networking Event,3,111,Hotel,Berlin,33,1.46,3,Bicycle,293.42,134,Mixed,111,2.07,17.63,389.17
Atelier,Trade Show,18,1759,Outdoor,Paris,12,1.39,18,Bicycle,488.32,208,Mixed,1759,0.68,47.92,4644.82
Board Meeting,Corporate Training,37,1714,Office,Berlin,17,1.25,37,Bicycle,256.37,497,Non-Vegetarian,1714,9.21,30.69,6471.93
Product Launch,Networking Event,12,1607,Coworking Space,New York,5,1.9,12,Bicycle,242.01,259,Mixed,1607,17.73,32.82,4175.6
Événement de Bienfaisance,Board Meeting,41,1550,Coworking Space,London,38,0.51,41,Bus,135.49,93,Vegan,1550,15.24,20.99,2775.78
Networking Event,Board Meeting,32,1958,Hotel,New York,28,1.96,32,Bus,2.83,191,Vegan,1958,3.36,27.37,2929.97
Lancement de Produit,Networking Event,15,1298,Coworking Space,New York,10,0.57,15,Plane,58.15,69,Vegetarian,1298,15.18,5.52,3034.24
Product Launch,Trade Show,43,1151,Outdoor,Tokyo,9,1.96,43,Car,342.78,40,Vegan,1151,18.15,26.0,4497.91
Formation,Seminar,25,205,Office,New York,48,0.75,25,Train,242.59,187,Vegan,205,19.87,43.29,2595.89
Conference,Workshop,43,110,Coworking Space,New York,5,1.65,43,Train,88.8,462,Vegan,110,13.05,5.46,1965.42
Workshop,Seminar,47,1661,Convention Center,Tokyo,14,0.24,47,Car,273.43,107,Vegan,1661,16.7,11.18,7939.69
